SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
PA,14,M,1,576.1,639.4,596.9,639.4,880.0,E
PA,14,M,0,579.3,634.9,592.6,765.2,580.0,P
PA,14,F,0,382.0,505.0,528.6,649.7,640.0,G
PA,13,F,1,450.7,381.1,553.4,443.8,620.0,B
PA,14,M,1,461.8,446.1,522.9,427.1,580.0,C
PA,14,F,0,395.4,470.8,573.7,533.3,460.0,N
PA,14,F,1,593.4,645.1,606.5,707.8,900.0,O
PA,14,F,1,404.2,390.5,465.9,485.2,440.0,D
PA,14,F,1,500.3,514.2,528.3,495.7,700.0,N
PA,14,F,0,535.1,587.3,596.5,546.9,860.0,J
PA,14,F,0,338.6,408.7,539.4,396.6,560.0,G
PA,14,F,1,408.3,558.5,541.2,508.3,600.0,I
PA,14,M,1,,435.1,425.2,,0.0,J
PA,14,F,0,,,,,,E
PA,14,F,0,447.6,554.0,516.6,588.4,620.0,C
PA,14,F,1,536.0,464.3,525.3,523.6,340.0,G
PA,14,F,1,518.8,517.1,520.9,366.4,300.0,C
PA,14,M,1,430.5,497.6,506.5,408.7,440.0,C
PA,14,F,0,524.0,461.7,473.4,585.1,940.0,Q
PA,14,F,0,425.1,444.8,503.6,524.2,620.0,Q
PA,13,F,0,448.5,504.8,559.0,471.5,620.0,Q
PA,14,M,0,445.0,560.5,540.8,654.0,640.0,G
PA,14,M,0,550.2,559.2,565.1,583.6,580.0,Q
PA,14,F,0,,536.8,571.3,,680.0,H
PA,14,F,0,,564.3,534.3,,760.0,C
PA,14,F,1,443.8,475.1,458.2,483.5,720.0,C
RO,14,F,0,536.6,551.1,548.5,380.9,560.0,G
RO,14,F,0,,,,,,C
RO,14,M,0,,,,,,C
RO,14,F,1,431.5,352.7,371.6,481.5,360.0,B
AM,14,M,0,,437.1,438.7,,440.0,B
AM,14,F,0,564.3,665.0,599.7,506.9,900.0,J
AM,14,F,0,405.0,557.0,590.6,383.2,840.0,J
AM,14,F,1,408.8,561.1,548.9,409.6,620.0,E
RR,14,F,1,,467.0,345.0,,0.0,B
PA,14,F,1,,,,,,B
PA,14,F,0,399.6,546.7,532.9,412.8,500.0,C
AM,14,M,0,386.6,341.3,442.8,451.0,500.0,G
AM,14,F,0,,637.1,582.8,,640.0,Q
AM,14,F,1,441.8,410.2,556.6,528.2,0.0,D
PA,14,F,1,410.7,497.0,496.5,438.0,640.0,C
AM,14,F,0,616.7,471.3,422.1,677.3,600.0,G
RO,14,M,0,500.7,545.5,515.3,568.5,760.0,A
RO,13,M,0,422.8,430.2,503.7,568.8,400.0,G
RO,14,F,0,536.3,581.6,562.4,669.0,640.0,D
RO,14,M,1,421.8,370.4,431.8,535.5,240.0,C
RO,14,M,0,469.9,573.5,527.7,628.0,640.0,L
RO,13,F,1,449.1,388.0,366.5,406.5,220.0,B
PA,14,F,1,,,,,,C
PA,14,F,1,396.6,462.6,491.4,453.5,320.0,B
PA,14,F,1,415.1,529.7,570.4,463.3,0.0,B
PA,14,F,0,,,,,,B
PA,13,F,1,409.6,447.5,439.9,539.9,740.0,A
PA,14,M,0,391.0,354.9,361.0,398.2,300.0,B
PA,14,F,1,482.3,402.9,508.7,448.5,580.0,A
PA,14,F,1,426.5,498.8,486.1,538.4,580.0,C
PA,14,F,1,,369.8,435.4,,240.0,D
PA,14,F,1,447.1,483.8,502.2,470.7,500.0,F
PA,13,F,1,350.2,471.4,456.3,474.9,640.0,B
PA,14,F,1,512.2,443.7,543.9,468.8,580.0,F
PA,14,F,0,425.1,484.3,516.8,373.4,560.0,G
PA,14,M,0,603.1,654.8,581.3,720.8,760.0,I
AC,14,F,0,,,,,,C
AM,14,M,0,549.0,584.3,562.3,633.7,620.0,C
AM,14,M,0,538.8,458.1,545.7,407.4,500.0,C
RO,14,F,0,476.4,540.6,556.8,540.6,460.0,H
AM,14,F,0,513.2,513.5,502.4,501.2,500.0,E
AM,14,F,0,413.3,563.9,578.9,651.8,700.0,P
AM,14,M,0,593.7,583.0,574.9,746.5,540.0,E
RO,14,F,0,450.5,459.7,500.9,505.3,580.0,C
AC,14,M,0,410.0,535.7,480.2,613.9,600.0,D
AM,14,F,0,343.6,335.9,504.4,417.0,340.0,B
AM,14,M,0,461.3,598.5,592.4,582.7,700.0,C
RO,14,F,0,569.8,549.9,566.8,525.4,520.0,C
RO,14,M,1,,,,,,F
MA,14,F,0,,,,,,H
MA,14,F,1,493.4,496.0,548.1,422.6,740.0,C
MA,14,F,0,572.1,616.9,607.0,683.6,720.0,K
PI,14,M,0,,,,,,D
MA,14,F,1,383.6,529.0,462.2,514.0,480.0,B
MA,14,F,0,406.0,434.7,444.1,419.9,560.0,B
PI,14,F,1,413.5,494.9,564.2,501.4,860.0,C
PI,14,F,0,466.6,406.5,495.1,476.8,0.0,E
PI,14,F,1,349.9,376.0,460.5,385.2,560.0,H
PI,14,F,1,417.7,474.0,495.8,421.9,620.0,B
MA,14,M,1,510.6,453.9,432.1,467.9,400.0,C
MA,14,F,1,484.3,620.2,585.1,638.0,660.0,C
MA,14,F,0,364.3,449.2,399.2,388.6,0.0,B
PI,14,M,1,506.8,362.1,516.3,415.8,440.0,B
MA,13,F,0,384.8,452.2,529.1,456.7,0.0,C
MA,14,M,1,354.1,527.4,345.3,457.5,260.0,G
MA,14,F,1,419.8,521.7,501.1,478.8,740.0,D
MA,14,M,1,511.6,595.4,592.6,768.8,660.0,F
MA,14,F,1,432.7,403.8,456.4,388.7,480.0,A
MA,14,M,1,535.3,630.9,530.7,666.5,500.0,C
MA,14,F,1,364.8,503.8,425.5,421.0,420.0,A
MA,13,F,0,589.6,617.2,640.1,735.0,960.0,I
PI,14,M,0,490.7,551.6,561.7,535.1,560.0,J
MA,14,F,1,,491.3,524.3,,900.0,B
MA,14,M,1,405.6,538.8,527.2,429.1,740.0,C
MA,14,F,1,390.2,567.6,517.2,534.0,620.0,A
MA,14,M,0,480.4,497.7,485.9,498.6,560.0,G
PI,14,F,1,398.2,416.2,478.3,508.1,380.0,B
PI,14,F,0,375.1,485.0,465.1,457.7,340.0,B
MA,14,F,0,399.0,489.0,488.6,400.2,500.0,D
MA,14,F,1,601.8,375.3,568.5,652.5,920.0,L
MA,14,F,0,376.9,450.6,520.5,422.7,640.0,B
PI,14,F,1,366.0,498.7,443.2,424.6,0.0,B
PI,14,F,1,537.9,573.2,566.7,432.0,680.0,D
PI,14,M,0,478.4,454.5,546.4,553.8,500.0,E
PI,14,F,1,427.4,434.0,396.0,375.3,320.0,C
PI,13,F,0,459.0,450.3,404.0,368.6,480.0,B
MA,14,F,0,345.1,436.5,481.5,501.7,520.0,H
MA,14,M,1,403.2,427.3,358.1,524.7,0.0,B
MA,14,M,0,473.8,340.1,414.8,500.4,0.0,C
PI,14,F,0,389.8,427.1,511.7,467.8,280.0,A
PI,14,M,0,551.4,508.0,593.1,657.2,420.0,G
MA,14,F,1,437.7,406.0,491.4,486.5,500.0,D
MA,14,F,0,377.6,334.7,441.0,393.3,380.0,B
CE,14,M,0,,518.9,576.5,,520.0,G
MA,14,F,1,600.0,652.6,601.0,702.3,900.0,L
MA,13,F,0,386.9,429.6,543.9,405.4,520.0,C
MA,14,F,0,467.0,515.9,486.3,443.5,640.0,B
CE,14,F,0,415.0,549.6,572.8,541.5,660.0,B
CE,14,F,0,,470.5,462.6,,620.0,N
CE,14,F,0,390.1,529.5,608.8,680.4,580.0,C
CE,14,M,0,,,,,,Q
CE,14,M,0,549.1,588.1,580.7,707.1,760.0,L
CE,14,F,0,415.8,559.4,549.0,490.5,620.0,B
CE,14,F,0,404.3,484.3,453.9,507.9,580.0,C
CE,14,M,0,,,,,,E
CE,14,M,0,359.9,434.9,506.0,504.5,420.0,F
CE,14,F,0,614.5,585.6,609.3,748.5,560.0,J
CE,14,M,1,380.6,498.4,508.1,494.0,560.0,C
CE,14,M,0,,,,,,H
CE,14,F,0,479.2,497.4,555.4,519.5,540.0,E
CE,14,M,1,531.2,567.6,557.5,649.1,720.0,C
CE,13,F,0,424.4,359.9,413.5,415.0,120.0,B
CE,14,F,1,393.5,531.2,512.0,573.1,620.0,B
CE,14,M,0,355.4,430.8,543.2,415.7,680.0,P
CE,7,M,0,397.1,408.4,481.4,527.7,560.0,B
CE,14,F,1,,,,,,D
CE,14,F,1,527.0,408.4,396.2,531.3,0.0,B
CE,14,M,0,418.7,506.0,528.2,683.8,680.0,N
CE,14,F,1,548.6,588.8,595.2,519.8,740.0,K
CE,14,M,0,536.3,620.2,591.4,781.5,760.0,N
CE,14,M,0,413.7,588.7,569.2,727.9,860.0,C
CE,14,F,0,345.4,441.5,449.1,496.1,440.0,D
CE,14,M,1,365.8,362.5,406.5,411.4,380.0,C
CE,14,F,0,521.6,449.4,533.0,630.9,0.0,Q
CE,14,F,0,522.1,607.3,603.0,618.5,700.0,O
PA,14,F,1,468.8,480.5,491.4,402.6,620.0,J
AP,13,M,0,,561.5,595.6,,480.0,Q
AP,14,M,0,,404.2,495.5,,0.0,B
MA,14,F,0,484.6,323.0,434.1,366.1,0.0,B
TO,14,M,0,528.2,540.0,540.0,619.0,580.0,I
TO,14,M,0,368.8,324.2,432.8,464.0,0.0,A
MA,14,M,0,492.4,595.3,543.5,401.6,760.0,J
MA,14,F,0,439.7,540.7,530.9,464.8,680.0,B
MA,14,M,1,,,,,,B
TO,14,M,1,572.5,533.0,561.3,580.6,800.0,Q
TO,2,F,1,400.0,472.5,346.9,401.8,480.0,B
MA,14,F,0,422.6,424.9,377.0,518.5,620.0,C
MA,14,F,1,475.3,541.3,564.2,592.0,860.0,F
MA,14,M,1,,454.1,494.9,,780.0,B
TO,14,M,0,,340.0,486.3,,500.0,A
MA,13,F,0,513.2,466.2,502.4,470.0,600.0,C
TO,14,F,0,459.2,432.8,474.8,362.3,560.0,G
TO,14,F,0,402.6,488.7,473.4,419.8,620.0,F
AP,14,F,0,365.2,441.3,528.2,408.5,400.0,B
TO,14,F,1,529.7,541.6,621.8,660.9,740.0,J
MA,14,F,0,394.1,493.0,513.7,538.5,560.0,C
TO,14,F,0,474.2,556.4,574.4,507.0,660.0,O
PA,14,F,1,414.2,399.6,547.6,434.3,420.0,B
PA,14,M,1,440.5,534.8,522.6,643.6,500.0,G
MA,14,F,1,450.7,483.9,453.7,530.5,760.0,B
MA,14,F,0,,608.2,613.3,,760.0,G
MA,7,M,0,358.3,418.3,435.6,526.4,480.0,B
AP,14,F,0,,485.7,516.8,,320.0,B
AP,14,F,1,467.6,463.2,425.8,403.8,0.0,B
TO,14,F,0,475.6,410.0,417.2,512.6,600.0,N
